date,startup,vertical,subvertical,city,Investor,Type,amount,year,month,quarter
2017-08-14,digilend,technology,personal loans & emi solutions platform,mumbai,incred finance fullerton india credit company ltd,seed funding,2.7768Cr,2017,8,3
2017-08-15,knab finance,consumer internet,unsecured small business loans,bangalore,incred krishnakumar natarajan ravi bhardwaj,seed funding,3.4265Cr,2017,8,3
2017-08-17,get simpl,consumer internet,payment solution mobile app,mumbai,green visor capital lp ii ia venture strategies fund ii lp boillot family trust russell m byrne the oliver r grace jr millennium trust sf capital investments lp,seed funding,0.0Cr,2017,8,3
2017-08-20,rootefy,ecommerce,building material online store,new delhi,abhinav gupta,seed funding,1.6643Cr,2017,8,3
2017-08-21,uniphore,technology,speech recognition startup,chennai,idg ventures kris gopalakrishnan,private equity,60.52Cr,2017,8,3
2017-08-21,cerebroz,consumer internet,e-tech platform,vadodara,undisclosed,seed funding,6.5326Cr,2017,8,3
2017-08-22,flochat,consumer internet,instant messaging platform,mumbai,isquare global,seed funding,0.0Cr,2017,8,3
2017-08-22,easygov,consumer internet,govt service application portal,noida,social alpha rajan anandan rajeev ahuja kshitij arora,seed funding,0.0Cr,2017,8,3
2017-08-23,milkbasket,consumer internet,online grocery platform,gurgaon,blume ventures,seed funding,0.0Cr,2017,8,3
2017-08-23,dhruva,technology,cloud data protection and management solutions,pune,riverwood capital sequoia capital india nexus venture partners tenaya capital,private equity,712.0Cr,2017,8,3
2017-08-23,bombay shaving company,ecommerce,men grooming product etailer,new delhi,fireside ventures,private equity,20.47Cr,2017,8,3
2017-08-23,awign,technology,operations and manpower outsourcing,bangalore,iit ropar imanpreet singh arora sidharth rozario saurabh abichandani shikhar gupta,seed funding,0.0Cr,2017,8,3
2017-08-23,indiez,technology,software & mobile app development platform,bangalore,haresh chawla,seed funding,4.45Cr,2017,8,3
2017-08-24,ezetap,technology,mpos solutions provider,bangalore,js capital management social capital horizons ventures,private equity,142.4Cr,2017,8,3
2017-08-25,ink monk,consumer internet,online printing marketplace,chennai,vamm ventures raksul dena,seed funding,6.675Cr,2017,8,3
2017-08-25,medinfi,consumer internet,online doctor discovery platform,bangalore,pbs srinivas vinod martin,seed funding,1.1125Cr,2017,8,3
